Year,Genre,Genre Slug,Release Date,URL
2022,アジア・エスニック EAST,asia_ethnic_east,発表日：2022年7月26日,https://award.tabelog.com/hyakumeiten/asia_ethnic_east/2022
2022,アジア・エスニック TOKYO,asia_ethnic_tokyo,発表日：2022年7月26日,https://award.tabelog.com/hyakumeiten/asia_ethnic_tokyo/2022
2022,アジア・エスニック WEST,asia_ethnic_west,発表日：2022年7月26日,https://award.tabelog.com/hyakumeiten/asia_ethnic_west/2022
2022,バー,bar,発表日：2022年11月1日,https://award.tabelog.com/hyakumeiten/bar/2022
2022,パン EAST,bread_east,発表日：2022年10月11日,https://award.tabelog.com/hyakumeiten/bread_east/2022
2022,パン TOKYO,bread_tokyo,発表日：2022年10月11日,https://award.tabelog.com/hyakumeiten/bread_tokyo/2022
2022,パン WEST,bread_west,発表日：2022年10月11日,https://award.tabelog.com/hyakumeiten/bread_west/2022
2022,ハンバーガー,hamburger,発表日：2022年5月12日,https://award.tabelog.com/hyakumeiten/hamburger/2022
2022,喫茶店,kissaten,発表日：2022年9月27日,https://award.tabelog.com/hyakumeiten/kissaten/2022
2022,お好み焼き,okonomiyaki,発表日：2022年4月26日,https://award.tabelog.com/hyakumeiten/okonomiyaki/2022
2022,ラーメン EAST,ramen_east,発表日：2022年11月28日,https://award.tabelog.com/hyakumeiten/ramen_east/2022
2022,ラーメン TOKYO,ramen_tokyo,発表日：2022年11月28日,https://award.tabelog.com/hyakumeiten/ramen_tokyo/2022
2022,ラーメン WEST,ramen_west,発表日：2022年11月28日,https://award.tabelog.com/hyakumeiten/ramen_west/2022
2022,寿司 EAST,sushi_east,発表日：2022年6月28日,https://award.tabelog.com/hyakumeiten/sushi_east/2022
2022,寿司 TOKYO,sushi_tokyo,発表日：2022年6月28日,https://award.tabelog.com/hyakumeiten/sushi_tokyo/2022
2022,寿司 WEST,sushi_west,発表日：2022年6月28日,https://award.tabelog.com/hyakumeiten/sushi_west/2022
2022,スイーツ EAST,sweets_east,発表日：2022年10月20日,https://award.tabelog.com/hyakumeiten/sweets_east/2022
2022,スイーツ TOKYO,sweets_tokyo,発表日：2022年10月20日,https://award.tabelog.com/hyakumeiten/sweets_tokyo/2022
2022,スイーツ WEST,sweets_west,発表日：2022年10月20日,https://award.tabelog.com/hyakumeiten/sweets_west/2022
2022,天ぷら,tempura,発表日：2022年4月12日,https://award.tabelog.com/hyakumeiten/tempura/2022
2022,とんかつ,tonkatsu,発表日：2022年6月7日,https://award.tabelog.com/hyakumeiten/tonkatsu/2022
2022,うどん EAST,udon_east,発表日：2022年3月15日,https://award.tabelog.com/hyakumeiten/udon_east/2022
2022,うどん WEST,udon_west,発表日：2022年3月15日,https://award.tabelog.com/hyakumeiten/udon_west/2022
2022,うなぎ,unagi,発表日：2022年7月12日,https://award.tabelog.com/hyakumeiten/unagi/2022
2022,焼肉 EAST,yakiniku_east,発表日：2022年8月23日,https://award.tabelog.com/hyakumeiten/yakiniku_east/2022
2022,焼肉 TOKYO,yakiniku_tokyo,発表日：2022年8月23日,https://award.tabelog.com/hyakumeiten/yakiniku_tokyo/2022
2022,焼肉 WEST,yakiniku_west,発表日：2022年8月23日,https://award.tabelog.com/hyakumeiten/yakiniku_west/2022
